Generation 271: 24.4668:       2188Generation 271: 0.584412
Generation 272: 24.4668:       2185Generation 272: 0.584412
Generation 273: 24.4668:       2182Generation 273: 0.584412
Generation 274: 24.4668:       2179Generation 274: 0.584412
Generation 275: 24.4668:       2176Generation 275: 0.584412
Generation 276: 24.4668:       2173Generation 276: 0.584412
Generation 277: 24.4668:       2170Generation 277: 0.584412
Generation 278: 24.4668:       2167Generation 278: 0.584412
Generation 279: 24.4668:       2164Generation 279: 0.584412
Generation 280: 24.4668:       2161Generation 280: 0.584412
Generation 281: 24.4668:       2158Generation 281: 0.584412
Generation 282: 24.4668:       2155Generation 282: 0.584412
Generation 283: 24.4668:       2152Generation 283: 0.584412
Generation 284: 24.4668:       2149Generation 284: 0.584412
Generation 285: 24.4668:       2146Generation 285: 0.584412
Generation 286: 24.4668:       2143Generation 286: 0.584412
Generation 287: 24.4668:       2140Generation 287: 0.584412
Generation 288: 22.7223:       2137Generation 288: 0.584412
Generation 289: 22.7223:       2134Generation 289: 0.584412
Generation 290: 22.7223:       2131Generation 290: 0.584412
Generation 291: 22.7223:       2128Generation 291: 0.584412
Generation 292: 22.7223:       2125Generation 292: 0.584412
Generation 293: 22.7223:       2122Generation 293: 0.584412
Generation 294: 22.7223:       2119Generation 294: 0.584412
Generation 295: 22.7223:       2116Generation 295: 0.584412
Generation 296: 22.7223:       2113Generation 296: 0.584412
Generation 297: 22.7223:       2110Generation 297: 0.584412
Generation 298: 22.7223:       2107Generation 298: 0.584412
Generation 299: 22.7223:       2104Generation 299: 0.584412
Generation 300: 22.7223:       2101Generation 300: 0.584412
Generation 301: 22.7223:       2098Generation 301: 0.584412
Generation 302: 22.7223:       2095Generation 302: 0.584412
Generation 303: 22.7223:       2092Generation 303: 0.584412
Generation 304: 22.7223:       2089Generation 304: 0.584412
Generation 305: 22.7223:       2086Generation 305: 0.584412
Generation 306: 22.7223:       2083Generation 306: 0.584412
Generation 307: 22.7223:       2080Generation 307: 0.584412
Generation 308: 22.7223:       2077Generation 308: 0.584412
Generation 309: 22.7223:       2074Generation 309: 0.584412
Generation 310: 22.7223:       2071Generation 310: 0.584412
Generation 311: 22.7223:       2068Generation 311: 0.584412
Generation 312: 22.7223:       2065Generation 312: 0.584412
Generation 313: 22.7223:       2062Generation 313: 0.584412
Generation 314: 22.7223:       2059Generation 314: 0.584412
Generation 315: 22.7223:       2056Generation 315: 0.584412
